네	yes
텔레비전	TV
다르다	to be different

이번	this time
공원	park
돕다	to help
얼마	how much (money)
여행	trip, travel
늦다	to be late
다	all
바나나	banana

피곤하다	to be tired
요일	day of the week
거기	there

도착하다	to arrive
도서관	library
너무	too (much)
받다	to receive, acceptto take
딸	daughter
그래서	therefore
보이다	to be visibleto show, display
토요일	Saturday
생일	birthday
좋아하다	to like
부모님	parents
밤	night
생각하다	to think
문제	problem, question
이쪽으로	this way, over here

사진	picture, photo
재미없다	to be boring, dull

아이스크림	ice cream
점심	lunch afternoon
앞	the front
전화하다	to make a phone call
프랑스	France

일요일	Sunday
치마	skirt
부르다	to call, to call out
고양이	cat
시험	exam, test
여러분	everyone, ladies and gentlemen

멀다	to be far

아들	son
시	poemtime, houro'clock
수업	class, instruction
나오다	to come out
우리	we (<i>informal</i>)
빵	bread
화장실	toilet, bathroom
수영하다	to swim
무슨	which/what (+ noun)
오렌지	orange
죽다	to die

병원	hospital
정말	really, seriously
선물	present, gift
되다	to become, get, turn into
새	newbird

약속	appointmentpromise
웃다	to laugh, smile
매일	every day
클래스	class

하지만	but, though

못하다	to be unable to do
안	inside, within<br />notproposal
토마토	tomato

닫다	to close
요즘	these days
지하철	subway
지내다	to spend timeto pursueto associate with

캐나다	Canada

잔	cup, glass
점원	salesperson
많다	to be many, to be plenty
주일	week
마음	mind, heart, nature

월	month
중요하다	to be important
저쪽	that side, over there

고기	meat

꽃	flower
반갑다	to be glad, happy, pleased

그런데	by the way, but then
거리	distancestreet, road
버리다	to abandon, to throw away
분	minuteperson (hon.)
시장	marketmayor
오월	May
가깝다	to be close
얼마나	how + adjective/adverb
식당	restaurant, cafeteria, diner
호주	Australia
덥다	to be hot (regarding the weather)
몇	how many

취미	hobby
옷장	wardrobe, closet
내리다	to come down, put downto get out ofto take off
시계	clock, watch
보통	usually, normally
햄버거	hamburger

열다	to open
옆	beside, next to
의사	doctor, physicianintention, idea
말다	to not do
다시	again
신문	newspaper
여동생	younger sister
적다	to write down, fill outto be small in quantity
열심히	diligently, passionately
손	hand
가르치다	to teach
유월	June
아직	yet, still
이상하다	to be strange (unusual)
나중에	later
등	the backgrade, class
회사원	company employee (in an office)
놓다	to lay, put, placeto let go
조금	a little
음식	food
운전하다	to drive
곳	place

남동생	younger brother
짧다	to be short

냉장고	refrigerator
천천히	slowly

태어나다	to be born

한식	Korean-style food
원	won (Korean currency)circle
기쁘다	to be glad, happy, pleased

누나	older sister (of a male)
올해	this year

결혼하다	to get married
나이	age
그림	picture
남다	to remain, to be left
달걀	egg

늦게	late
괜찮다	to be okay
침대	bed
병	bottlesickness, disease
팔다	to sell
직업	job, occupation
여름	summer

같다	to be the same (as)to look like, seem like
나	I (<i>informal</i>)
극장	movie theatertheater
잡다	to catch, grab, take
지난	last, previous

엄마	mom

나가다	to go out
자전거	bicycle
주문하다	to order (smth.)
고향	hometown
어떤	some, certainwhat kind of
춤추다	to dance

때	time whenoccasiondirt

언니	older sister (of a female)
준비	preparation, arrangement
울다	to cry
일월	January
가수	singer
그래도	nevertheless, still, however

찍다	to take a picture<br />to mark
초콜릿	chocolate

일찍	early (adv.)
잠	sleep, nap

힘들다	to be difficult, tiring, painful

아빠	dad

김치	kimchi (traditional Korean dish made of seasoned vegetables and other ingredients)

작년	last year
내다	to payto produce
영국	United Kingdom
주말	weekend
그렇지만	but, however

따뜻하다	to be warm, kind

이월	February
핸드폰	cellphone
씻다	to wash
편지	letter, note
봄	spring

슬프다	to be sad
오전	before noon
인터넷	internet

맵다	to be spicy, hotto be intense
백화점	department store
명	counter for people
검다	to be black

얘기	storytalk, conversation

제일	the most
빌리다	to borrow
포도	grape
삼월	March
걷다	to walk
공항	airport
달	month, moon

농구	basketball
세수하다	to wash one's face
가끔	sometimes
씨	Mr., Ms.seed, kernel
보내다	to send<br />to pass (spend) time
오후	after noon
서점	bookstore
배고프다	to be hungry
무엇	what, which, something (the unshortened form of 뭐)

맛	taste
비빔밥	boiled rice with assorted mixtures

걸리다	to take timeto be caught
창문	window
일본어	Japanese (language)
싫어하다	to dislike
또	again, repeatedlyalso, too

기억	memory
검은색	black

치다	to play a gameto hit, attack
나무	tree wood
대답	answer
설악산	Seoraksan (mountain)
깨끗하다	to be clean

모두	all together, everyone

너	you (<i>informal</i>)
그래	yes, okay

수고하다	to work hard, keep up the effort

먼저	first, ahead
층	floor (count.)
사월	April
조용하다	to be quiet
사무실	office
벌써	already
들어가다	to enter, go in
잠시	a short while
위	above
한번	one time
귀엽다	to be cute
부엌	kitchen

이런	such

소개하다	to introduce, recommend
목	neckthroat
여러	many, several
흰색	white

가지다	to posess (have)

할머니	grandmother
만약	if
화	angerdisaster, misfortune
잘하다	to do well, be skillful
오이	cucumber

처음	for the first timethe origin

비슷하다	to be similar
칠월	July
길	street, road
어느	which

축하하다	to congratulate
택시	taxi
마지막	the last, final one
한국말	Korean language
서다	to standto stop

속	inside

빨간색	red

빨래하다	to do laundry
팔월	August
수박	watermelon
차갑다	to be cold (regarding objects)
대	counter for vehicles and other machinery
종이	paper
며칠	several daysday of the month

걱정하다	to worry
테이블	table

오래	a long time

배우	actor
놀라다	to be surprised, astonished, startled
힘	power, strength, force, capability

잡지	magazine, journal
계시다	to exist (hon.)
남편	husband
별로	not particularly
파티	party (social gathering)
화나다	to be angry, mad
구월	September
산	mountain
빨갛다	to be red

아래	under

교실	classroom
잘못하다	to make a mistake
왼쪽	left side
코트	coat
따르다	to follow, go afterto pour, fill

겨울	winter

모자	hat, capmother and son
시월	October
필요하다	to need
키	height

청바지	blue jeans
고맙다	to be thankful, grateful
물건	thing, object, article
이렇게	like this, in this way
소금	salt

끝내다	to finish (something)
수학	mathematics
뒤	behind
편의점	convenience store
유명하다	to be famous
우산	umbrella
저희	we, our

들어오다	to come in, enter
아저씨	mister
안경	glasses, eyeglasses
행복하다	to be happy
값	price, cost

동안	during, interval

뜨겁다	to be hot (regarding objects)
식사	meal
오른쪽	right side

거실	living room
설명하다	to explain
불	firelight
그러니까	therefore, consequently

아줌마	middle aged woman

아름답다	to be beautiful

십일월	November
외국	foreign country
아내	wife
나다	to appear, come outto break
역	train stationpart in a play
도시	city
드리다	to give, offer (hon.)

얼굴	face

인사	greetings
거짓말	lie
무겁다	to be heavy
모든	all every

공	ball

날짜	date (in a calendar)
구경하다	to go sightseeing, look aroundto see, watch (a show, movie, play, sports game etc.)
소리	sound, noise

앞으로	from now on

들다	to be included, be amongto pick up, hold, carryto mention, state
팔	arm
십이월	December
기숙사	dormitory
어둡다	to be dark, gloomy

중국어	Chinese (language)
바로	right theredirectly

생선	fish (for eating)
연습하다	to practice, train
데	spot, place

하루	(one) day, 24 hours

외국어	foreign language
빠르다	to be quick, fast
반지	ring
쇼핑	shopping
노랗다	to be yellow

밖	the outside
만화	comic book
사실	fact, truth
출근하다	to go (get) to work
언제나	alwaysusually

건강	health
높다	to be highto be noble

그냥	justwithout any special reason

지난주	last week
컵	cup

계속하다	to continue
휴가	vacation (in general)
방금	a moment ago
학년	school year
벌다	to earn (money)

전	before, prior to
색깔	color
신발	shoes, footwear

잊다	to forget

설탕	sugar
함께	together, in company with

글	writing, a piece of writing, text
사용하다	to use, make use of
데이트	date, going out

사고	accident
그만하다	to stop (doing something)
라면	ramen

서로	each other, mutually

생기다	to occur, happento lookto form

약	drug, medicineapproximately
아마	probably, maybe
미안하다	to be sorry (less formal)
과일	fruit

항상	always
싸우다	to argue, fight

지갑	walletpurse
가장	the most (more formal than제일)
이해하다	to understand, grasp
반	halfgroup, class
농담	joke
아기	baby
바꾸다	to change, switch, alter
가을	autumn

쇠고기	beef (2)

낮다	to be low

담배	cigarette
방학	vacation (from school)
가져오다	to bring

권	counter for books
열쇠	key

그리다	to draw a picture
여자친구	girlfriend
아주	very much
양말	socks
틀리다	to be wrong, mistaken

아니	no, not
주소	address, residence
벽	wallcharacteristic
퇴근하다	to go home from work
자기	self, oneself
방법	way, method
감기	cold (the illness)
똑똑하다	to be smart, bright, intelligent

계속	continuously
지도	map, chart
가볍다	to be light (as opposed to heavy)

마리	counter for animals

문학	literature
밝다	to be bright, lightto be promisingto be sharp, keen

강	river
반말	plain speech
외우다	to memorize

할아버지	grandfather
비밀	secret
노란색	yellow

즐겁다	to be pleasant, joyful, cheerful, happy

인기	popularity
전혀	completely(not) at all
조심하다	to be careful, watch out
바다	sea, ocean

과학	science
더럽다	to be dirty

몸	body, figure

잠깐	for a little while
강하다	to be strong, powerful
축구	football (soccer)
역사	history
내	my <i>(informal)</i>
잘못되다	to go wrong

다리	legbridge
번호	number
운동장	field, (school) stadiumplayground
실례하다	to be excused
콜라	coke
사이	relationshipdistance apart
스포츠	sports

부탁하다	to request, ask a favor
스페인	Spain

기분	mood, feeling
갑자기	suddenly

다치다	to get hurt
궁금하다	to be curious, to wonder

자리	room, space, place (for something)mat
내년	next year
파랗다	to be blue

섬	island

그렇게	so, like that
건강하다	to be healthy
냄새	smell, scent

직장	workplace, job
지나다	to pass, go by

반바지	shorts
소파	sofa

독학	self-study
연락하다	to contact, keep in touch
오랜만에	after a long time

느낌	feeling, sensation

졸업하다	to graduate
교수	professorteaching, instruction
손님	guestcustomer
오르다	to rise, go up

입	mouth
비행기	airplane
닦다	to wipeto polish

위험	danger, risk
유행	fashion
믿다	to believe, trust
교과서	textbook
꼭	certainly, for sure

날씬하다	to be slim, slender

대화	conversation
날마다	every day

시원하다	to be cool, refreshing

신경	nerves
유학	studying abroad
인도	Indiasidewalk
시끄럽다	to be noisy

당근	carrot

계획	plan, project
피우다	to smoketo bloom, blossomto make a fire
코	nose
부산	Busan
우체국	post office
어리다	to be young, little

바람	wind, breezewish, desire

야구	baseball
복잡하다	to be crowdedto be complicated
목욕	bath
때문에	because of

꿈	dream (while sleeping)

넓다	to be wide, spacious
이제	now (after something)

경기	game (football etc.)
지키다	to defend, protect
사실은	in fact
약국	pharmacy
즐기다	to enjoy oneself

초록색	green
낮	daytime

그때	then, at that time

안다	to hug, hold

아가씨	miss, young lady
불고기	marinated beef

주무시다	to sleep (hon.)

해	yearsunharm
아무튼	anyway, in any case

드라마	drama

내려오다	to come down, get off

비누	soap

근처	nearby
낫다	to be betterto get better, to heal
가구	furniturehousehold
닭	chicken

변하다	to change
세탁	washing
젓가락	chopsticks

친절하다	to be kind, considerate
계단	stairs
글쎄	well, let me see

켜다	to turn on, switch on
어른	adultone's senior
기자	reporter
그쪽	that, that wayyou

달리다	to runto hangto depend on
재미있게	interestingly, in a fun way

못	nailcannot
하얗다	to be white
주인	owner, employer
아무나	anybody

기억나다	to remember, recollect

지난달	last month

군데	place, spot

사탕	candy
어떻다	to be the manner in which something is done

귀	ear
이따가	a little later

잃다	to lose (something)
교회	church
그릇	bowl, container

펴다	to open, unfold, spread

중에서	among, between
목소리	voice

소식	news (from people you know)
밝히다	to brighten (up), lightento clarify, disclose
침실	bedroom
북쪽	north
구름	cloud

벗다	to take off (clothes)
닭고기	chicken (meat)

밑	the bottom, below

만지다	to touch
모레	the day after tomorrow

시내	the city, downtown
달다	to be sweetto put up, attach

거의	almost
간호사	nurse
불안하다	to be anxious, uneasy
배달	delivery
아무도	no one, nobody

곧	soon

흐리다	to be cloudy

장갑	glove
말고	not ... but ...
복습하다	to review
새벽	dawn

정도	degree, extent
숟가락	spoon

출발하다	to depart, leave
달력	calendar
회의	meeting, conference
끄다	to put out, turn off

훨씬	by far, much
부탁	request
줄	line, rope
샤워하다	to take a shower

그러나	but, though, however

접시	plate, dish

드시다	to eat, drink (hon.)

경제	economy
개월	months (count.)
잘생기다	to look good, be handsome

문장	sentence
가위	scissors

초대하다	to invite
점	dot, pointviewpointfortune-telling
호텔	hotel

갈비	barbecued spare ribs

알아보다	to find out,check out, investigateto recognize
허리	waist

물론	of course
편하다	to be convenient, comfortable
까만색	black

자신	oneselfself-confidence
헤어지다	to break up, part, separate

사거리	intersection, crossroads
국	soup

가운데	center

다녀오다	to go and get back, be back

학원	educational institute, academy
장소	place, location
착하다	to be nice (good-natured)
호수	lakenumber (of a house or room)
보기	example

야채	vegetable
마르다	to be dry, become dryto become thin, lose weight

팥	red-beans

신호	signal
덮다	to cover, shut, close

굉장히	very, extremely, very much
하늘	the sky
돌아가다	to go back, returnto work, operate
아까	a while ago
기침	cough
불다	to blow

케이크	cake

살	years of age (<i>count.</i>)flesh, muscle
짜다	to organize, constructto be salty

카페	café
욕실	bathroom
이사하다	to move (to live elsewhere)
건물	building
달러	dollar

넣다	to put in, insert

종업원	waiter, waitress
가슴	chest

장	counter for sheets (of paper or similar material)intestine
짓다	to make, build, construct
그녀	she

단어	word, vocabulary
남자친구	boyfriend
고르다	to choose, pick
어린이	young child, kid
딸기	strawberry

혹시	by any chance perhaps
돌다	to turn, rotate, revolve
문화	culture
참	very, really

무섭다	to be scary, frightening, fearfulto be scared
소풍	picnic
이미	already, yetpreviously
묻다	to askto bury
이유	reason, cause
녹색	green
오래간만	first time in a while

떨어지다	to fall, crash
예문	example sentence
스파게티	spaghetti

뚱뚱하다	to be fat

발	foot
아르바이트	part-time job

이기다	to win

기차	train
어깨	shoulder

따라하다	to imitate, repeat (after)

직접	directly, personally
강아지	puppy

끊다	to cut off, break off
냉면	cold noodle soup
사장	president of a company
각	each, everyangle
맑다	to be clear, clean

제주도	Jeju Island
경찰	police, police officer
전화기	telephone (set)
신다	to put on, wear (footwear)

눈물	tear

노력	effort
어울리다	to match, fit, suit well, look goodto associate (with), get along (with)

어서	please, kindlyquickly

뉴스	news
갔다오다	to go and come back

노래방	karaoke room
간장	soy sauce
휴게실	lounge, resting room
건너다	to cross (over)

게임	game
표	tickettable, diagrammark, sign
쓰레기	garbage, trash

해보다	to try to experience

손가락	finger

남녀	men and women
자르다	to cut, slice
옛날	old times, the past

설거지	dishwashing

봉투	envelope, bag
나타나다	to appear, turn upto be revealed

초등학교	elementary school
복숭아	peach

불편하다	to be inconvenient, uncomfortable
칼	knifesword

추석	Korean harvest festival
내려가다	to go down

부부	a married couple
지하	underground, basement
걸다	to hang, suspendto speak to, call

수영장	swimming pool
반찬	side dish
시장보다	to go grocery shopping
공연	public performance
최고	the best, the highest, top
팀	team

돌아오다	to come back, return
곧장	straight, directly

자연	nature
한글	Korean alphabet
갖다	to have, to hold

공사	construction
모습	figure, shape, features

깎다	to peel, trim, cutto discount (cut the price)

특히	especially, particularly
남쪽	south
까맣다	to be black

예	exampleyes
가전제품	electric home appliance
산책하다	to take a walk
당신	you (formal)
조건	condition, term
세상	the world, society
날다	to fly

외국인	foreigner
교통	traffic
말씀하시다	to speak, talk (hon.)
실수	mistake, error
언어	language
왕	king
올라가다	to go up

피부	skin
발음	pronunciation
참다	to endure, bear
한복	Korean dress (traditional)
인터뷰	interview

첫째	first, the foremost

막히다	to be blocked, be stopped

소주	Korean hard liquor
맞은편	opposite side
시청	city hall
희다	to be white, fair

과자	cookie, snack
미터	meter

휴지	toilet paper, tissuepause
전하다	to convey, communicate, reportto teach, introduce
포도주	wine
과	departmentlesson, chapter
멋있다	to be attractive, stylish, cool
첫날	the first day

에어컨	air conditioner

과거	the past
꺼내다	to pull, take out

후식	dessert
서쪽	the west
떠나다	to leave, depart

피아노	piano
계절	season
친하다	to be close, friendly, intimate with
규칙	rule, regulation
요리사	cook, chef
당연하다	to be reasonable, natural
중학교	middle school (junior high)
생활	life, living, livelihood
성	family namecastlegender
외롭다	to be lonely

경찰서	police station
학기	semester
얻다	to get, to gain
아파트	apartment

소고기	beef

편리하다	to be convenient, handy
잎	leaf
최근	lately, most recently
시키다	to order, force someone

메시지	message

일부	part, section, portion
박물관	museum
느끼다	to feel, experience

정신	mind, spirit, soul
내용	contents, substance
현재	the present (tense)
걸어가다	to walk (somewhere)

카드	card
숨	breath, breathing

눕다	to lie down
분위기	atmosphere, mood
고등학교	high school
외식하다	to dine out
배추	Chinese cabbage

레슨	lesson

갖다주다	to bring over

중간	middle
메뉴	menu

세우다	to make something stand, erectto stop, parkto set (up)

부분	part, portion
별	star

심심하다	to be bored

정보	information
소설	novel
자장면	Chinese dish of noodles in black soybean paste

다행이다	to be lucky, fortunate
의미	meaning, sense
수건	towel
고치다	to fix, repair
거울	mirror

사회	society, community
이용하다	to use, take advantage of
가지	kind (of), sort (of)branch, twigeggplant

홍차	black tea
관계	relationship, connection
튼튼하다	to be strong, solid, healthy

휴일	public holiday
적	enemy, opponent, rival
되게	very, really, extremely

밉다	to be hateful, dislikeableto be ugly
동물	animal
버섯	mushroom

비디오	video
복사하다	to reproduce, copy
돼지	pig

가까이	near (to), closenearly

지우다	to erase, cross outto wash off

초	seconds
미래	future
사귀다	to date, go outto make friends with, keep company with

퍼센트	percent

술집	bar, pub

잃어버리다	to lose something (completely)
그저께	day before yesterday

문법	grammar
남기다	to leave behind, save

주차장	parking lot
매우	very, so, much

급하다	to be in a hurry, be urgent
매력	charm, attractiveness
입술	lips

사라지다	to disappear

사업	enterprise, business
아무데나	any place, anywhere

새롭다	to be new, fresh

편	side
넥타이	necktie

지나가다	to go through, pass
벌레	bug, insect

뉴욕	New York

졸리다	to feel sleepy
장미	rose
태권도	Taekwondo
잡수시다	to eat (hon.)

슈퍼마켓	supermarket

계란	egg
대단하다	to be great, tremendousto be wonderful

약간	a little, slightly
칠판	blackboard
결정하다	to decide
성함	name (hon.)
운동화	sports shoes
부럽다	to be jealous, envious

목걸이	necklace

언젠가	someday
똑같다	to be exactly the same

연구	research
채소	vegetable
입원하다	to be hospitalized
가격	price
평소에	usually, ordinarily
풀다	to solve untie
동사	verb
성격	character, personality
던지다	to throw
조용히	silently, quietly

대학	university
도망가다	to run away, escape
목적	purpose, aim, goal
한가지	the sameone thing, a kind, a sort

유리	glass
부드럽다	to be soft, smooth

더위	the heat

경우	case, circumstances, scenario
애인	lover, sweetheart
굽다	to bake, roast, toastto be crooked, be bent
웬일	what matter, what cause

팔찌	bracelet

집중하다	to concentrate (upon)
꽤	substantially, fairly
장마	rainy season, rainy spell

대하다	to face, confrontto treat
결국	after all, finally, in the end
아주머니	middle aged womanaunt
이마	forehead

따라가다	to follow, go after, tag along

인생	life (human)
귤	tangerine, mandarin
여전히	still, as ever
일으키다	to raise, set somebody upright

숫자	numbers
어쩌면	maybe

사건	incident, affair, event
가난하다	to be poor

센티미터	centimeter

설마	impossibly, can't be true

간식	snack
두다	to put, place, layto leave (behind, as is)

화장품	cosmetics
큰길	main road

좁다	to be narrow
죽	porridge, gruelin a row
부인	[your] wife (hon.)woman, ladydenial, disapproval
도와주다	to help out, assist
예전	the old days before

존댓말	polite/formal language (speech)
한잔하다	to have a drink
진심으로	sincerely, from one's heart
정치	politics
지다	to lose, be defeatedto be under an obligation

짓	act, behavior

명사	noun
위험하다	to be dangerous, risky
동네	neighborhood, village
좌석	seat
제발	pleaseby all means

찾아가다	to visit

시절	years (college years etc.), period of life
종일	all day long
정류장	stop, station (bus etc.)
취직하다	to get a job
덜	less
둘이	two people

미치다	to go mad, crazyto reach

선배	senior (often at the same education- or workplace)
지역	area, region
알리다	to inform, let know, notify

용돈	pocket money, allowance
법	law
작가	writer
가능하다	to be possible
심장	the heart (in the body)
인형	doll, puppet
기사	news articledriver, chauffeurengineer
잊어버리다	to forget (completely)

펜	pen

솔직히	honestly, frankly
순간	moment, instant
원하다	to want, wish, hope
월급	monthly salary
주제	subject, theme, topic
열리다	to be open, be opened

피	blood

식구	family, member of family
휴대전화	cell phone (2)
확인하다	to confirm, verify
관심	interest, concern
바보	fool, stupid person

숨다	to hide, disappear

상처	injury, wound, bruise
차이	difference
절대로	neverabsolutely, completely
젖다	to get wet, soaked, be moistened

놈	guyjerk

일단	once [something has happened]first (of several actions)for now
양복	suit
방송하다	to broadcast
중심	center, core, balance
결과	result
배부르다	to have a full stomach

출장	business trip
숲	forest

원래	originally, primarily
닮다	to resemble, be alike

한자	Chinese character
추위	cold weather

아시아	Asia

죽이다	to kill, murderto hold back, suppress

귀걸이	earring

책임	responsibilityblame
실례	bad manners, rudeness
깨지다	to be broken, get broken

환자	patient (medical)
미리	in advance

왜냐하면	because, since

대다	to place, putto feel, touch

인상	impression
동쪽	the east
대신하다	to take the place of, act as a substitute
세탁기	washing machine
바닥	floor, the bottom

그대로	as [it] is, intactly

뛰다	to jumpto run, dash

반대	reverse, opposite
지방	local area, regionfat
호랑이	tiger
부지런하다	to be hardworking, diligent

댁	[your] house (hon.)
역시	too, alsostill
대학생	college student
뵙다	to see, meet (hon.)

습관	habit
건너편	the other side
대사관	embassy
생각나다	to come to mind, think of, remember

군인	military personnel, soldier
식탁	dining table
남학생	male student
구하다	to look for, seekto rescue, save
여권	passport
테니스	tennis
갈색	light brown
젊다	to be young, youthful

광고	advertisement
경치	scene, scenery
찌개	stew
두껍다	to be thick, heavy

치약	toothpaste
경찰관	police officer
군대	army, troops
노트하다	to take notes

제목	title, name
가습기	humidifier
시대	period, era
위하다	to do for the sake of, on behalf of
샌드위치	sandwich

기업	enterprise, business
이상	more than, aboveabnormalityideal
꿈꾸다	to dream

모래	sand

결혼식	wedding ceremony
회색	gray
닿다	to reach, touch

활동	activity
대단히	very much, greatly, highly

인간	human being, mankind
움직이다	to move

쉽게	easily

정답	correct answer
여학생	female student
부끄럽다	to be shameful, disgraceful, ashamedto be shy

아래층	downstairs
따로	separatelyin addition

비밀번호	password, PIN
집다	to pick up

소녀	young girl
번역	translation
기계	machine
자연스럽다	to be natural
바닷가	beach, seaside

땀	sweat, perspiration

수영복	swimsuit
걸어오다	to come by foot

공짜	free (of charge)
고개	head, neck

데리고가다	to bring someone to some place

해외	foreign country, overseas
출구	exit
추워지다	to become cold

모델	model

수첩	(pocket) notebook, personal organizer
경험하다	to experience
당장	on the spot, immediately
상품	prizeproduct, goods
세계	the world
선택하다	to choose, select
사촌	cousin
주로	mostly, mainly
키스	kiss

모으다	to collect, gather up

저번	last time, the other day
분홍색	pink
들리다	to be heard, to hearto be lifted, be raised

떡	Korean rice cake

얼른	promptly, right away, quickly

심각하다	to be serious, grave, severe
손목	wrist

라디오	radio

계산하다	to calculate
다행히	fortunately
자식	one's children
넘다	to exceedto climb (over)

원숭이	monkey

가요	song
높이	heighthigh, highly

올라오다	to come up

드디어	finally, at (long) last

개인	individual
공휴일	legal holiday, bank holiday
신나다	to be excited

별일	special event, unusual occurence
기술	skill, techniquedescription
자랑하다	to be proud (of), boast (about)

사계절	four seasons
전체	the whole, entire
취소하다	to cancel, withdraw
느리다	to be slow

조사	investigation, inquiry, surveypostpositioneulogy
바라다	to desire, wish, hope
새해	New Year

국제	international-
소개팅	blind date
정확하다	to be exact, correct, accurate
프로그램	program

표정	facial expression
공무원	public servant, government employee
신기하다	to be marvelous, wonderful, amazing
국물	soup, broth

대부분	greater part, mostly
민족	people, ethnic group
전공하다	to major in, specialize in
러시아	Russia

짐	load, burden, luggage, cargo

완전히	completely, entirely, fully
식다	to cool off, get cold

국수	noodles

현금	cash
조카	nephew, niece
환영하다	to welcome (somebody)
이메일	email

제대로	appropriately, properly

사자	lion
빼다	to pull out, extractto subtract

자료	materials, data
무게	weight

대통령	president (of a country)
지루하다	to be boring
분명히	clearly, distinctively
장학금	scholarship
고통	pain, suffering
찾아오다	to come see someoneto retrieve something

악기	musical instrument
식품	food items, groceries
세기	century
큰일나다	to be in big trouble

놀이	play, game, pastime

평일	weekday
기회	chance, opportunity
없어지다	to lose, be lostto disappear
메모	memo, note

열	fever, heatrow, line, queue
발전	development, growth
검사하다	to examine, inspect
대구	Daegu
마당	yard, garden

소년	young boy
흐르다	to flowto overflowto elapse

우선	first of all
생명	life, soul
잔돈	change (money)

주차하다	to park
짧게	briefly

남	other people

